"qvalue","protein_group","protein_accession","protein_description","protein_name","fasta_file","unique_precursors","Avg","logFC","FDR","Regulation","gh","gt","ce","pl","HMMER","dbCAN_sub","DIAMOND","Signalp","#ofTools","EC#"
"0.0","A0ZZ99","A0ZZ99","Chromosomal replication initiator protein DnaA","A0ZZ99_BIFAA","uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01","7","1.93371958017738","-1.05701075762937","0.131948104995539","Non-regulated","","","","","","","","","",""
"0.0","A0ZZA0","A0ZZA0","Beta sliding clamp","A0ZZA0_BIFAA","uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01","20","1.25268858888153","2.04545472883233","0.0463246575529673","Up-regulated","","","","","","","","","",""
"0.0","A0ZZA3","A0ZZA3","DNA topoisomerase (ATP-hydrolyzing)","A0ZZA3_BIFAA","uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01","9","0.70858285964208","0.117581377008986","0.824748548238694","Non-regulated","","","","","","","","","",""
"0.0","A0ZZA4","A0ZZA4","DNA gyrase subunit A","A0ZZA4_BIFAA","uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01","9","0.165473322225313","1.6342898974381","0.0346229950326674","Up-regulated","","","","","","","","","",""
"0.000761559383499547","A0ZZA5","A0ZZA5","DUF3566 domain-containing protein","A0ZZA5_BIFAA","uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01","2","-0.203184024595519","0.360332506587292","0.64136677916542","Non-regulated","","","","","","","","","",""
"0.0","A0ZZA6","A0ZZA6","Glutamate dehydrogenase","A0ZZA6_BIFAA","uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01","34","3.91060863664571","0.946711964772832","0.0504030872661555","Non-regulated","","","","","","","","","",""
"0.00185449633346198","A0ZZB0","A0ZZB0","Carbonic anhydrase","A0ZZB0_BIFAA","uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01","1","-0.974162911217057","-0.562041773433671","0.372269153323076","Non-regulated","","","","","","","","","",""
"0.0","A0ZZC2","A0ZZC2","Phosphoenolpyruvate carboxylase","A0ZZC2_BIFAA","uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01","25","1.00651376102717","-0.302970889450561","0.514492087781827","Non-regulated","","","","","","","","","",""
"0.0","A0ZZC5","A0ZZC5","Tryptophan--tRNA ligase","A0ZZC5_BIFAA","uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01","12","-0.584210509359814","1.05368838470297","0.0534556269975487","Non-regulated","","","","","","","","","",""
"0.0","A0ZZC8","A0ZZC8","Alpha-1,4 glucan phosphorylase","A0ZZC8_BIFAA","uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01","26","1.08427664954874","0.413178182921138","0.42887070976597","Non-regulated","","","","","","","","","",""
"0.00161030595813205","A0ZZD1","A0ZZD1","N6-adenine-specific methylase","A0ZZD1_BIFAA","uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01","4","-1.68696078889849","-0.269741069562909","0.673690624593195","Non-regulated","","","","","","","","","",""
"0.000441988950276243","A0ZZD2","A0ZZD2","Cell division protein CrgA","A0ZZD2_BIFAA","uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01","2","-0.763212719868522","-2.58443336874548","0.0682623379119901","Non-regulated","","","","","","","","","",""
"0.00491942324003393","A0ZZD4","A0ZZD4","Class E sortase","A0ZZD4_BIFAA","uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01","2","-0.887568125613165","-0.150470045896608","0.797584364450865","Non-regulated","","","","","","","","","",""
"0.0","A0ZZD6","A0ZZD6","non-specific serine/threonine protein kinase","A0ZZD6_BIFAA","uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01","19","3.68356525851937","-4.8919213265699","0.00196187169941823","Down-regulated","","","","","","","","","",""
"0.0","A0ZZD7","A0ZZD7","non-specific serine/threonine protein kinase","A0ZZD7_BIFAA","uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01","8","1.86444294702469","-3.87651974615747","0.000656525086161793","Down-regulated","","","","","","","","","",""
"0.006129887342611","A0ZZD8","A0ZZD8","Probable penicillin binding protein transpeptidase","A0ZZD8_BIFAA","uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01","4","-2.01052798991676","-1.73993040059742","0.00735339597754189","Down-regulated","","","","","","","","","",""
"0.00177462289263532","A0ZZE0","A0ZZE0","Possible phosphoprotein phosphatase","A0ZZE0_BIFAA","uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01","2","0.267528305910452","1.46171600186821","0.0815154510542837","Non-regulated","","","","","","","","","",""
"0.00139776357827476","A0ZZE2","A0ZZE2","FHA domain-containing protein","A0ZZE2_BIFAA","uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01","9","0.460857475853577","1.58283048368632","0.037115315219901","Up-regulated","","","","","","","","","",""
"0.00210600210600211","A0ZZE3","A0ZZE3","Probable dipeptidyl peptidase IV","A0ZZE3_BIFAA","uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01","3","-1.28637821523859","-0.333721036564884","0.754267953485253","Non-regulated","","","","","","","","","",""
"0.00161030595813205","A0ZZF4","A0ZZF4","Queuine tRNA-ribosyltransferase","A0ZZF4_BIFAA","uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01","4","-0.709908868017288","0.998326812165669","0.167601500695306","Non-regulated","","","","","","","","","",""
"0.0","A0ZZF5","A0ZZF5","Possible DO serine protease","A0ZZF5_BIFAA","uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01","14","1.93066568071447","0.856492770999617","0.0501628930854586","Non-regulated","","","","","","","","","",""
"0.00161030595813205","A0ZZF6","A0ZZF6","Probable cation-transporting ATPase V","A0ZZF6_BIFAA","uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01","6","-1.79788608107085","-0.238858015906686","0.557398255295811","Non-regulated","","","","","","","","","",""
"0.00491942324003393","A0ZZF7","A0ZZF7","asparaginase","A0ZZF7_BIFAA","uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01","1","-0.0546941870174235","2.63028342075284","0.00718570766994196","Up-regulated","","","","","","","","","",""
"0.0","A0ZZF9","A0ZZF9","ferredoxin--NADP(+) reductase","A0ZZF9_BIFAA","uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01","34","6.10163178766881","-0.335805445918238","0.556629892019683","Non-regulated","","","","","","","","","",""
"0.00161030595813205","A0ZZG0","A0ZZG0","Protease HtpX homolog","A0ZZG0_BIFAA","uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01","2","-1.68743059467371","-1.19758791650832","0.274081866528638","Non-regulated","","","","","","","","","",""
"0.0","A0ZZG4","A0ZZG4","Fructose-bisphosphate aldolase","A0ZZG4_BIFAA","uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01","7","-0.988348063244149","0.281402619762049","0.569754753230991","Non-regulated","","","","","","","","","",""
"0.0010568590150074","A0ZZG5","A0ZZG5","Adenylosuccinate synthetase","PURA_BIFAA","uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01","11","0.189129335919789","0.82176641387953","0.157193168161419","Non-regulated","","","","","","","","","",""
"0.006129887342611","A0ZZH3","A0ZZH3","LacI-type transcriptional regulator","A0ZZH3_BIFAA","uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01","1","-0.83992813251103","0.089940840194265","0.901679333573755","Non-regulated","","","","","","","","","",""
"0.0","A0ZZH6","A0ZZH6","Sucrose phosphorylase","SUCP_BIFAA","uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01","7","0.509415088210897","-1.16508857868128","0.395152161050678","Non-regulated","","","","","","","","","",""
"0.000163934426229508","A0ZZH9","A0ZZH9","Ketol-acid reductoisomerase (NADP(+))","A0ZZH9_BIFAA","uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01","1","-0.228114895112723","-1.17608701503785","0.0172342997344814","Down-regulated","","","","","","","","","",""
