Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
sp|A0ZZH6|SUCP_BIFAA	2.4.1.7	GH13_18(35-379)	GH13_e144	GH13_18	N	3
sp|A1A3T0|BGAC_BIFAA	3.2.1.23	GH2_10(48-929)	GH2_e1	GH2_10	N	3
tr|A0AAQ2U7P6|A0AAQ2U7P6_9FIRM	3.2.1.52	GH20(112-420)	GH20_e1	GH20	N	3
tr|A0AAQ2U8W3|A0AAQ2U8W3_9FIRM	3.2.1.78	CBM27(195-354)+GH26(389-704)+CBM23(885-1052)	CBM27_e0+GH26_e75+CBM23_e2	CBM23+CBM27+GH26	Y(1-28)	3
tr|A0AAQ2U8Z5|A0AAQ2U8Z5_9FIRM	2.4.1.281	GH130_1(48-359)	GH130_e6	GH130_1	N	3
tr|A0AAQ2UA70|A0AAQ2UA70_9FIRM	-	GH65(325-723)	GH65_e27	GH65	N	3
tr|A0AAQ2UAW7|A0AAQ2UAW7_9FIRM	2.4.1.319|2.4.1.320	GH130_2(28-325)	GH130_e13	GH130_2	N	3
tr|A0AAQ2UBL2|A0AAQ2UBL2_9FIRM	-	GH105(30-372)	GH105_e32	GH105	N	3
tr|A0AAQ2UBY2|A0AAQ2UBY2_9FIRM	N	GH190(14-288)	N	GH190	N	2
tr|A0AAQ2UC77|A0AAQ2UC77_9FIRM	-	GH53(6-382)	GH53_e1	GH53	N	3
tr|A0AAQ2UCZ2|A0AAQ2UCZ2_9FIRM	-	GH172(71-323)	GH172_e7	GH172	N	3
tr|A0AAQ2UD05|A0AAQ2UD05_9FIRM	3.1.1.6	CE2(127-339)	CE2_e6	CE2	N	3
tr|A0AAQ2UD43|A0AAQ2UD43_9FIRM	2.4.1.25	GH77(8-484)	GH77_e1	GH77	N	3
tr|A0AAQ2UDS0|A0AAQ2UDS0_9FIRM	3.2.1.23	GH2_5(4-543)	GH2_e64	GH2_5	N	3
tr|A0AAQ2UE37|A0AAQ2UE37_9FIRM	3.2.1.23	GH2_1(7-593)	GH2_e16	GH2_1	N	3
tr|A0AAQ2UE47|A0AAQ2UE47_9FIRM	-	GT2(9-122)	GT2	GT2	N	3
tr|A0AAQ2UE49|A0AAQ2UE49_9FIRM	-	GT2(7-215)	GT2	N	N	2
tr|A0AAQ2UEQ1|A0AAQ2UEQ1_9FIRM	-	GT2(86-271)	GT2+GT2	GT2	N	3
tr|A0AAQ2UFJ1|A0AAQ2UFJ1_9FIRM	-	CE4(339-459)	CE4_e314	CE4	N	3
tr|A0AAQ2UHP4|A0AAQ2UHP4_9FIRM	3.2.1.1|3.2.1.41|-	CBM34(41-135)+GH13_39(194-576)	CBM34_e11+GH13_e98	CBM34+GH13	N	3
tr|A0AAQ2Z5P9|A0AAQ2Z5P9_9FIRM	3.2.1.41|3.2.1.1|3.2.1.-|3.2.1.68	GH13_14(179-502)	CBM48_e14+GH13_e95	CBM48+GH13_14	N	3
tr|A0AAQ2Z657|A0AAQ2Z657_9FIRM	-	GT2(6-151)	GT2	GT2	N	3
tr|A0AAQ2Z6B7|A0AAQ2Z6B7_9FIRM	3.2.1.177	GH31_3(247-676)	GH31_e31	GH31_3	N	3
tr|A0AAQ2Z6F8|A0AAQ2Z6F8_9FIRM	-	GT2(9-111)	GT2	GT2	N	3
tr|A0AAQ2Z6L0|A0AAQ2Z6L0_9FIRM	-	GH1(2-448)	GH1_e86	GH1	N	3
tr|A0AAQ2Z6N3|A0AAQ2Z6N3_9FIRM	3.2.1.-	GH42(12-377)	GH42_e0	GH42	N	3
tr|A0AAQ2Z6T5|A0AAQ2Z6T5_9FIRM	3.2.1.55	GH51_2(189-655)	GH51_e47	GH51_2	N	3
tr|A0AAQ2Z762|A0AAQ2Z762_9FIRM	-	GT4(283-440)	GT4_e1744	GT4	N	3
tr|A0AAQ2Z7V7|A0AAQ2Z7V7_9FIRM	-	CBM67(65-216)+GH78(290-773)	GH78_e38	GH78	N	3
tr|A0AAQ2Z8D8|A0AAQ2Z8D8_9FIRM	3.2.1.8|3.2.1.39	CBM86(57-166)+CBM22(182-332)+GH10(378-769)+CBM9(929-1101)	GH10_e78+CBM9_e20+CBM9_e20+CBM56_e2	CBM22+CBM86+CBM9+GH10	Y(1-38)	3
tr|A0AAQ2Z8F0|A0AAQ2Z8F0_9FIRM	3.1.1.-	CE17(215-386)	CE17_e0	N	N	2
tr|A0AAQ2Z9K4|A0AAQ2Z9K4_9FIRM	3.2.1.55	GH51_1(6-528)	GH51_e0	GH51_1	N	3
