Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
tr|A0AAQ2U8W3|A0AAQ2U8W3_9FIRM	3.2.1.78	CBM27(195-354)+GH26(389-704)+CBM23(885-1052)	CBM27_e0+GH26_e75+CBM23_e2	CBM23+CBM27+GH26	N	3
tr|A0AAQ2U8Z5|A0AAQ2U8Z5_9FIRM	2.4.1.281	GH130_1(48-359)	GH130_e6	GH130_1	N	3
tr|A0AAQ2UAW7|A0AAQ2UAW7_9FIRM	2.4.1.319|2.4.1.320	GH130_2(28-325)	GH130_e13	GH130_2	N	3
tr|A0AAQ2UD05|A0AAQ2UD05_9FIRM	3.1.1.6	CE2(127-339)	CE2_e6	CE2	N	3
tr|C7G6F8|C7G6F8_9FIRM	3.1.1.-	CE17(37-200)+CBM35inCE17(222-369)	CE17_e0	CE17	N	3
tr|C7G6G1|C7G6G1_9FIRM	2.4.1.319|2.4.1.320	GH130_2(28-325)	GH130_e13	GH130_2	N	3
tr|C7G6H0|C7G6H0_9FIRM	3.2.1.78|3.2.1.25	GH113(4-303)	GH113_e21	GH113	N	3
tr|C7G924|C7G924_9FIRM	3.2.1.37	GH39(23-453)	GH39_e74	GH39	N	3
tr|C7G9C0|C7G9C0_9FIRM	-	GH32(121-404)	GH32_e25	GH32	N	3
tr|C7GE41|C7GE41_9FIRM	3.2.1.55|3.2.1.37|-	GH43_12(5-291)+CBM91(324-518)	GH43_e259+CBM91_e25	CBM91+GH43_12	N	3
tr|C7GE42|C7GE42_9FIRM	3.1.1.-	CE17(219-389)	CE17_e0	N	N	2
tr|C7GE43|C7GE43_9FIRM	3.2.1.131	GH115(4-635)	GH115_e0	GH115	N	3
tr|G2SWI4|G2SWI4_ROSHA	3.1.1.-	CE17(215-384)	CE17_e0	N	N	2
tr|G2SWN8|G2SWN8_ROSHA	3.2.1.88	GH27(192-441)	GH27_e28	GH27	N	3
tr|G2SXW9|G2SXW9_ROSHA	3.1.1.6	CE2(129-341)	CE2_e6	CE2	N	3
tr|G2SXX0|G2SXX0_ROSHA	2.4.1.319|2.4.1.320	GH130_2(28-325)	GH130_e13	GH130_2	N	3
tr|G2SXX1|G2SXX1_ROSHA	2.4.1.281	GH130_1(48-359)	GH130_e6	GH130_1	N	3
tr|G2SXX8|G2SXX8_ROSHA	3.2.1.22	GH36(12-712)	GH36_e0	GH36	N	3
tr|G2SYK6|G2SYK6_ROSHA	-	GH31_2(235-689)	GH31_e60	GH31_2	N	3
tr|C7GFA1|C7GFA1_9FIRM	-	N	CBM50_e564	CBM50	N	2
tr|G2T447|G2T447_ROSHA	-	N	GT2	GT2	N	2
tr|G2SXX9|G2SXX9_ROSHA	N	N	N	GH130_1	N	1
tr|A0AAQ2Z601|A0AAQ2Z601_9FIRM	N	N	N	CBM35	Y(1-34)	1
tr|A0AAQ2UBR1|A0AAQ2UBR1_9FIRM	N	N	N	GH0	Y(1-34)	1
tr|A0AAQ2UF10|A0AAQ2UF10_9FIRM	N	N	N	CBM50	N	1
tr|C7GDS1|C7GDS1_9FIRM	N	N	N	GH13_31	N	1
tr|C0FVU9|C0FVU9_9FIRM	N	N	N	GH1	N	1
