PG.Qvalue	PG.ProteinGroups	PG.ProteinAccessions	PG.ProteinDescriptions	PG.ProteinNames	PG.FastaFiles	PG.NrOfPrecursorsIdentified (Experiment-wide)	[1] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S1.raw.PG.Quantity	[2] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S2.raw.PG.Quantity	[3] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S3.raw.PG.Quantity	[4] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S4.raw.PG.Quantity	[5] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S5.raw.PG.Quantity	[6] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S6.raw.PG.Quantity	[7] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S7.raw.PG.Quantity	[8] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S8.raw.PG.Quantity	[9] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S9.raw.PG.Quantity	[1] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S1.raw.PG.IBAQ	[2] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S2.raw.PG.IBAQ	[3] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S3.raw.PG.IBAQ	[4] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S4.raw.PG.IBAQ	[5] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S5.raw.PG.IBAQ	[6] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S6.raw.PG.IBAQ	[7] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S7.raw.PG.IBAQ	[8] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S8.raw.PG.IBAQ	[9] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S9.raw.PG.IBAQ
0	A0ZZ99	A0ZZ99	Chromosomal replication initiator protein DnaA	A0ZZ99_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	7	29120,2421875	35333,859375	33243,27734375	41338,67578125	34779,22265625	39317,125	NaN	9043,23828125	NaN	3721,5	4830,8	4298	5686,9	4442,6	5311,9	NaN	34,1	117,4
1	A0ZZ99_Decoy	A0ZZ99	NaN	A0ZZ99	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	A0ZZA0	A0ZZA0	Beta sliding clamp	A0ZZA0_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	20	30198,9375	35230,44140625	36494,5234375	48411,140625	40625,078125	45696,60546875	3708,005615234375	309,0802001953125	4124,2939453125	8634,3	12702,4	8246,8	11323,1	8805,7	10991,4	717,4	6,6	412,8
1	A0ZZA0_Decoy	A0ZZA0	NaN	A0ZZA0	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	A0ZZA3	A0ZZA3	DNA topoisomerase (ATP-hydrolyzing)	A0ZZA3_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	9	11543,6455078125	20781,22265625	15303,62109375	19151,798828125	15724,423828125	20338,787109375	3516,98974609375	2372,508056640625	2950,5048828125	2400,2	3128,9	2487,1	3232,4	2777,7	3357,3	633,3	350,8	366,2
1	A0ZZA3_Decoy	A0ZZA3	NaN	A0ZZA3	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	A0ZZA4	A0ZZA4	DNA gyrase subunit A	A0ZZA4_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	9	15025,0908203125	16036,5546875	15857,5439453125	17608,232421875	14880,1455078125	17075,314453125	NaN	NaN	NaN	1425,2	1165,8	1512,1	1387,1	1074,3	3630,1	NaN	NaN	NaN
1	A0ZZA4_Decoy	A0ZZA4	NaN	A0ZZA4	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0,0007615593834995467	A0ZZA5	A0ZZA5	DUF3566 domain-containing protein	A0ZZA5_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	2	6215,314453125	8844,7734375	9004,09765625	11961,033203125	11042,9912109375	14311,7900390625	1062,18212890625	2110,792236328125	893,688720703125	1769	2517,3	2405,7	3404,3	4300,5	3658,3	302,3	600,8	254,4
0	A0ZZA6	A0ZZA6	Glutamate dehydrogenase	A0ZZA6_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	34	162561,703125	190482,796875	170223,609375	209913,03125	172025,703125	218392,328125	24067,935546875	10991,1162109375	23828,70703125	41371,199	46783,398	41152,301	51010,898	41175,301	55518,5	3771,7	1683,1	3837,1
